SLR(1) PARSER OUTPUT -test/x.decaf
==========================================================================================

States: 246, Conflicts: 3

States                       Symbols                      Input              Action
---------------------------- ---------------------------- ------------------ --------------------
[0]                          ['$']                        void('void')       ('shift', 9)
[0, 9]                       ['$', 'void']                id('main')         ('shift', 22)
[0, 9, 22]                   ['$', 'void', 'id']          (('(')             ('shift', 29)
[0, 9, 22, 29]               ['$', 'void', 'id', '(']     )(')')             ('reduce', 21)
[0, 9, 22, 29, 43]           ['$', 'void', 'id', '(', 'Formals'] )(')')             ('shift', 54)
[0, 9, 22, 29, 43, 54]       ['$', 'void', 'id', '(', 'Formals', ')'] {('{')             ('shift', 63)
[9, 22, 29, 43, 54, 63]      ['void', 'id', '(', 'Formals', ')', '{'] int('int')         ('shift', 11)
[22, 29, 43, 54, 63, 11]     ['id', '(', 'Formals', ')', '{', 'int'] id('a')            ('reduce', 19)
[29, 43, 54, 63, 11, 24]     ['(', 'Formals', ')', '{', 'int', 'TypeSuffix'] id('a')            ('reduce', 13)
[22, 29, 43, 54, 63, 114]    ['id', '(', 'Formals', ')', '{', 'Type'] id('a')            ('shift', 165)
[29, 43, 54, 63, 114, 165]   ['(', 'Formals', ')', '{', 'Type', 'id'] ;(';')             ('shift', 202)
[43, 54, 63, 114, 165, 202]  ['Formals', ')', '{', 'Type', 'id', ';'] int('int')         ('reduce', 9)
[22, 29, 43, 54, 63, 109]    ['id', '(', 'Formals', ')', '{', 'VarDecl'] int('int')         ('reduce', 47)
[22, 29, 43, 54, 63, 81]     ['id', '(', 'Formals', ')', '{', 'Stmt'] int('int')         ('shift', 11)
[29, 43, 54, 63, 81, 11]     ['(', 'Formals', ')', '{', 'Stmt', 'int'] id('b')            ('reduce', 19)
[43, 54, 63, 81, 11, 24]     ['Formals', ')', '{', 'Stmt', 'int', 'TypeSuffix'] id('b')            ('reduce', 13)
[29, 43, 54, 63, 81, 114]    ['(', 'Formals', ')', '{', 'Stmt', 'Type'] id('b')            ('shift', 165)
[43, 54, 63, 81, 114, 165]   ['Formals', ')', '{', 'Stmt', 'Type', 'id'] ;(';')             ('shift', 202)
[54, 63, 81, 114, 165, 202]  [')', '{', 'Stmt', 'Type', 'id', ';'] int('int')         ('reduce', 9)
[29, 43, 54, 63, 81, 109]    ['(', 'Formals', ')', '{', 'Stmt', 'VarDecl'] int('int')         ('reduce', 47)
[29, 43, 54, 63, 81, 81]     ['(', 'Formals', ')', '{', 'Stmt', 'Stmt'] int('int')         ('shift', 11)
[43, 54, 63, 81, 81, 11]     ['Formals', ')', '{', 'Stmt', 'Stmt', 'int'] id('c')            ('reduce', 19)
[54, 63, 81, 81, 11, 24]     [')', '{', 'Stmt', 'Stmt', 'int', 'TypeSuffix'] id('c')            ('reduce', 13)
[43, 54, 63, 81, 81, 114]    ['Formals', ')', '{', 'Stmt', 'Stmt', 'Type'] id('c')            ('shift', 165)
[54, 63, 81, 81, 114, 165]   [')', '{', 'Stmt', 'Stmt', 'Type', 'id'] ;(';')             ('shift', 202)
[63, 81, 81, 114, 165, 202]  ['{', 'Stmt', 'Stmt', 'Type', 'id', ';'] id('a')            ('reduce', 9)
[43, 54, 63, 81, 81, 109]    ['Formals', ')', '{', 'Stmt', 'Stmt', 'VarDecl'] id('a')            ('reduce', 47)
[43, 54, 63, 81, 81, 81]     ['Formals', ')', '{', 'Stmt', 'Stmt', 'Stmt'] id('a')            ('shift', 84)
[54, 63, 81, 81, 81, 84]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'id'] =('=')             ('reduce', 110)
[63, 81, 81, 81, 84, 130]    ['{', 'Stmt', 'Stmt', 'Stmt', 'id', 'CallTail'] =('=')             ('reduce', 111)
[54, 63, 81, 81, 81, 92]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'Primary'] =('=')             ('reduce', 108)
[63, 81, 81, 81, 92, 137]    ['{', 'Stmt', 'Stmt', 'Stmt', 'Primary', 'PostTail'] =('=')             ('reduce', 105)
[54, 63, 81, 81, 81, 111]    [')', '{', 'Stmt', 'Stmt', 'Stmt', 'PostExpr'] =('=')             ('reduce', 104)
[54, 63, 81, 81, 81, 106]    [')', '{', 'Stmt', 'Stmt', 'Stmt', 'UnaryExpr'] =('=')             ('reduce', 101)
[63, 81, 81, 81, 106, 160]   ['{', 'Stmt', 'Stmt', 'Stmt', 'UnaryExpr', 'MulTail'] =('=')             ('reduce', 97)
[54, 63, 81, 81, 81, 105]    [')', '{', 'Stmt', 'Stmt', 'Stmt', 'MulExpr'] =('=')             ('reduce', 96)
[63, 81, 81, 81, 105, 156]   ['{', 'Stmt', 'Stmt', 'Stmt', 'MulExpr', 'AddTail'] =('=')             ('reduce', 93)
[54, 63, 81, 81, 81, 98]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'AddExpr'] =('=')             ('reduce', 92)
[63, 81, 81, 81, 98, 145]    ['{', 'Stmt', 'Stmt', 'Stmt', 'AddExpr', 'RelTail'] =('=')             ('reduce', 87)
[54, 63, 81, 81, 81, 100]    [')', '{', 'Stmt', 'Stmt', 'Stmt', 'RelExpr'] =('=')             ('reduce', 86)
[63, 81, 81, 81, 100, 151]   ['{', 'Stmt', 'Stmt', 'Stmt', 'RelExpr', 'EqTail'] =('=')             ('reduce', 83)
[54, 63, 81, 81, 81, 76]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'EqExpr'] =('=')             ('reduce', 82)
[63, 81, 81, 81, 76, 122]    ['{', 'Stmt', 'Stmt', 'Stmt', 'EqExpr', 'AndTail'] =('=')             ('reduce', 80)
[54, 63, 81, 81, 81, 89]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'AndExpr'] =('=')             ('reduce', 79)
[63, 81, 81, 81, 89, 134]    ['{', 'Stmt', 'Stmt', 'Stmt', 'AndExpr', 'OrTail'] =('=')             ('reduce', 77)
[54, 63, 81, 81, 81, 83]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'OrExpr'] =('=')             ('shift', 127)
[63, 81, 81, 81, 83, 127]    ['{', 'Stmt', 'Stmt', 'Stmt', 'OrExpr', '='] INT_CONST(10)      ('shift', 104)
[81, 81, 81, 83, 127, 104]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'INT_CONST'] ;(';')             ('reduce', 112)
[81, 81, 81, 83, 127, 92]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'Primary'] ;(';')             ('reduce', 108)
[81, 81, 83, 127, 92, 137]   ['Stmt', 'Stmt', 'OrExpr', '=', 'Primary', 'PostTail'] ;(';')             ('reduce', 105)
[81, 81, 81, 83, 127, 111]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'PostExpr'] ;(';')             ('reduce', 104)
[81, 81, 81, 83, 127, 106]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'UnaryExpr'] ;(';')             ('reduce', 101)
[81, 81, 83, 127, 106, 160]  ['Stmt', 'Stmt', 'OrExpr', '=', 'UnaryExpr', 'MulTail'] ;(';')             ('reduce', 97)
[81, 81, 81, 83, 127, 105]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'MulExpr'] ;(';')             ('reduce', 96)
[81, 81, 83, 127, 105, 156]  ['Stmt', 'Stmt', 'OrExpr', '=', 'MulExpr', 'AddTail'] ;(';')             ('reduce', 93)
[81, 81, 81, 83, 127, 98]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'AddExpr'] ;(';')             ('reduce', 92)
[81, 81, 83, 127, 98, 145]   ['Stmt', 'Stmt', 'OrExpr', '=', 'AddExpr', 'RelTail'] ;(';')             ('reduce', 87)
[81, 81, 81, 83, 127, 100]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'RelExpr'] ;(';')             ('reduce', 86)
[81, 81, 83, 127, 100, 151]  ['Stmt', 'Stmt', 'OrExpr', '=', 'RelExpr', 'EqTail'] ;(';')             ('reduce', 83)
[81, 81, 81, 83, 127, 76]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'EqExpr'] ;(';')             ('reduce', 82)
[81, 81, 83, 127, 76, 122]   ['Stmt', 'Stmt', 'OrExpr', '=', 'EqExpr', 'AndTail'] ;(';')             ('reduce', 80)
[81, 81, 81, 83, 127, 89]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'AndExpr'] ;(';')             ('reduce', 79)
[81, 81, 83, 127, 89, 134]   ['Stmt', 'Stmt', 'OrExpr', '=', 'AndExpr', 'OrTail'] ;(';')             ('reduce', 77)
[81, 81, 81, 83, 127, 83]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'OrExpr'] ;(';')             ('reduce', 76)
[81, 81, 83, 127, 83, 128]   ['Stmt', 'Stmt', 'OrExpr', '=', 'OrExpr', 'AssignTail'] ;(';')             ('reduce', 74)
[81, 81, 81, 83, 127, 174]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'Expr'] ;(';')             ('reduce', 75)
[63, 81, 81, 81, 83, 128]    ['{', 'Stmt', 'Stmt', 'Stmt', 'OrExpr', 'AssignTail'] ;(';')             ('reduce', 74)
[54, 63, 81, 81, 81, 99]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'Expr'] ;(';')             ('shift', 149)
[63, 81, 81, 81, 99, 149]    ['{', 'Stmt', 'Stmt', 'Stmt', 'Expr', ';'] id('b')            ('reduce', 56)
[54, 63, 81, 81, 81, 78]     [')', '{', 'Stmt', 'Stmt', 'Stmt', 'ExprStmt'] id('b')            ('reduce', 48)
